date,scenario,interval,L_scen_kwh,G_scen_kwh,P_scen_yuan_per_kwh
2025-07-15,1,1,815.6969987088428,0.0,0.46623500593312
2025-07-15,1,2,822.0633208796395,0.0,0.43603496609086023
2025-07-15,1,3,850.9646865415676,0.0,0.36518871819593557
2025-07-15,1,4,866.635841166138,0.0,0.43860088907774547
2025-07-15,1,5,930.0186612891334,0.0,0.5162930630866882
2025-07-15,1,6,918.6780160723524,0.0,0.529992033653061
2025-07-15,1,7,912.0903523211729,0.0,0.5374054846400734
2025-07-15,1,8,854.8602573708624,0.0,0.5319860721468238
2025-07-15,1,9,867.4457238819774,0.0,0.5085373554197328
2025-07-15,1,10,903.7430408374739,0.0,0.4660179883365999
2025-07-15,1,11,893.7587688321255,0.0,0.458981404789685
2025-07-15,1,12,875.5769515790221,0.0,0.49530544832785106
2025-07-15,1,13,896.8839503503679,0.0,0.5451352951108318
2025-07-15,1,14,871.8977630425618,0.0,0.46012333439823233
2025-07-15,1,15,847.4510455835104,0.0,0.34586099023619393
2025-07-15,1,16,874.882612517587,0.0,0.43325193931106104
2025-07-15,1,17,907.1486149729681,0.0,0.49168463987734623
2025-07-15,1,18,891.4560173568748,0.0,0.4385322137516976
2025-07-15,1,19,859.3044068417364,0.0002833333333333333,0.41407722941349556
2025-07-15,1,20,853.9289616191627,0.0,0.3776560819106808
2025-07-15,1,21,816.8241319608044,0.0,0.3805945255841439
2025-07-15,1,22,829.0522211542759,0.004,0.46806304381136443
2025-07-15,1,23,841.2642554881861,0.0,0.44596750121256074
2025-07-15,1,24,829.7626018662463,0.0,0.37609350062479796
2025-07-15,1,25,789.6393606788032,0.055716666666666664,0.39393267655475483
2025-07-15,1,26,783.9568779151142,0.0,0.4327450380626265
2025-07-15,1,27,816.2838241725665,0.0,0.44086812665950814
2025-07-15,1,28,813.4429878645415,0.7760833333333333,0.438602399762072
2025-07-15,1,29,806.88359285134,0.0,0.4500120508213453
2025-07-15,1,30,810.5790176845228,0.0,0.40919251411653657
2025-07-15,1,31,756.9630107320988,18.10321944444444,0.3610053568009074
2025-07-15,1,32,770.7576723742986,44.42615555555555,0.35279454806089394
2025-07-15,1,33,823.9879162792079,72.20700833333333,0.3489398666100585
2025-07-15,1,34,795.5138474016926,105.96107777777777,0.2816084260152982
2025-07-15,1,35,817.3673902933909,148.87613055555553,0.43363291022216216
2025-07-15,1,36,969.4419093064973,188.00776666666667,0.6875600012844847
2025-07-15,1,37,984.7803152408414,219.58655000000002,0.653283711934875
2025-07-15,1,38,936.0174439224317,270.7124166666667,0.6818855183040922
2025-07-15,1,39,920.4685624947142,336.5920666666666,0.8258896274439218
2025-07-15,1,40,958.3389316950704,374.46091666666666,0.7475911340692332
2025-07-15,1,41,969.9864036329034,413.5595999999999,0.6373317074379418
2025-07-15,1,42,943.2916605352538,472.2763666666667,0.6041297634161112
2025-07-15,1,43,966.5803551654678,537.9590055555556,0.5893219806123992
2025-07-15,1,44,921.5451746699596,584.482161111111,0.5630747594111692
2025-07-15,1,45,847.0563696969482,621.4584333333333,0.489117315382273
2025-07-15,1,46,875.5686186393239,679.6562555555556,0.4677071263708483
2025-07-15,1,47,998.2272997764173,730.0005944444445,0.5525974979196324
2025-07-15,1,48,1202.265711980016,770.2404999999999,0.6930036611808768
2025-07-15,1,49,1222.3803737548935,838.2660555555557,0.7903505721413732
2025-07-15,1,50,1213.3781584107792,883.6881111111111,0.8049707230093969
2025-07-15,1,51,1239.0917880385596,920.1925166666666,0.7457556114414435
2025-07-15,1,52,1223.9158626591504,997.6682222222222,0.7322283400090593
2025-07-15,1,53,1237.111047523524,1051.7420944444443,0.7646125734619057
2025-07-15,1,54,1203.1095718037564,1088.1445333333334,0.8000271632648887
2025-07-15,1,55,1207.784258781729,1126.4692249999998,0.7421044718001173
2025-07-15,1,56,1204.8358024860092,1172.1193,0.6572476823236116
2025-07-15,1,57,1205.1994602730915,1187.4679083333335,0.6243042495783222
2025-07-15,1,58,1196.8652639648171,1183.2765833333333,0.5994848261175171
2025-07-15,1,59,1151.9336856911868,1189.663725,0.7069275991881238
2025-07-15,1,60,1113.8936941262803,1201.8787833333333,0.865993516832401
2025-07-15,1,61,1179.5501582774389,1185.2531888888889,0.9082138758024019
2025-07-15,1,62,1217.8601508453992,1167.0331611111112,0.8089700252069362
2025-07-15,1,63,1195.2737055160555,1170.5105499999995,0.7812091821935457
2025-07-15,1,64,1199.9804263724902,1196.3745055555555,0.8857116869550756
2025-07-15,1,65,1181.3993779149598,1211.1040277777774,0.6166738007235991
2025-07-15,1,66,1168.0864535731625,1218.0298166666664,0.12973397758592142
2025-07-15,1,67,1197.481228032938,1252.1933249999997,0.008198049859434176
2025-07-15,1,68,1215.6303840296564,1271.20685,0.054400890566590476
2025-07-15,1,69,1198.0898615679325,1258.8805916666663,0.05450648906801858
2025-07-15,1,70,1181.3206439169633,1224.478133333333,0.018715832909707575
2025-07-15,1,71,1166.143835632617,1125.458475,0.017789998087222814
2025-07-15,1,72,1136.40319523386,1033.1063666666666,0.06327505054984828
2025-07-15,1,73,1141.9015930756934,1117.3665111111106,0.10068579942445538
2025-07-15,1,74,1134.667682799116,1164.7910555555557,0.1373728002040478
2025-07-15,1,75,1135.5282088389965,1144.4063999999998,0.11710003912386652
2025-07-15,1,76,1107.8882987527154,1174.2955944444443,0.06595287200980238
2025-07-15,1,77,1191.9714275433357,1136.5497555555555,0.28617459186255245
2025-07-15,1,78,1285.2485166006988,1039.6814333333334,0.6580375143801576
2025-07-15,1,79,1203.2204469666867,1032.0481555555555,0.7099099688120137
2025-07-15,1,80,1147.831750641834,1014.3304944444444,0.6738320095535747
2025-07-15,1,81,1200.5790624540377,967.6947,0.681259795989607
2025-07-15,1,82,1257.3950375945976,967.8727222222224,0.6832861848382844
2025-07-15,1,83,1219.8245262717699,957.2407611111112,0.7833828937771935
2025-07-15,1,84,1191.4638216232188,944.4142166666666,0.926849894325773
2025-07-15,1,85,1212.7709248503907,988.0271361111111,0.9113043786148054
2025-07-15,1,86,1244.2541317497048,997.1501888888888,0.8830983230738556
2025-07-15,1,87,1288.161901117639,946.7442249999997,0.9879447472199203
2025-07-15,1,88,1314.6385627167379,910.6061444444443,1.0503777681383641
2025-07-15,1,89,1314.940324413567,891.5201805555557,0.8251976772836184
2025-07-15,1,90,1294.3826967415725,882.8617333333333,0.4701944926460524
2025-07-15,1,91,1263.4468135446245,854.0458472222222,0.43835656452806193
